"County","Code_Mailing","Code_Number","FIPS","X_Latitude","Y_Longitude","Centroid_Location","Shape_Length","Shape_Area"
"Walker",471,236,"48,471",30.73899492,-95.57224172,"POINT (-95.57224172 30.73899492)",2.152040802,0.195448316
"Waller",473,237,"48,473",30.01093722,-95.98768942,"POINT (-95.98768942 30.01093722)",2.435199131,0.125424201
"Ward",475,238,"48,475",31.509424,-103.1024636,"POINT (-103.1024636 31.509424)",2.939565254,0.205498549
"Washington",477,239,"48,477",30.2145299,-96.40356575,"POINT (-96.40356575 30.2145299)",2.547105613,0.150743535
"Webb",479,240,"48,479",27.76102524,-99.33170164,"POINT (-99.33170164 27.76102524)",4.761420357,0.799981776
"Wharton",481,241,"48,481",29.2778362,-96.22197375,"POINT (-96.22197375 29.2778362)",2.467353303,0.263143063
"Wheeler",483,242,"48,483",35.40129002,-100.2697634,"POINT (-100.2697634 35.40129002)",1.951251644,0.235165817
"Wichita",485,243,"48,485",33.98421585,-98.70153389,"POINT (-98.70153389 33.98421585)",1.833176967,0.156295134
"Wilbarger",487,244,"48,487",34.08044953,-99.24089568,"POINT (-99.24089568 34.08044953)",2.499326666,0.247248608
"Willacy",489,245,"48,489",26.47132899,-97.64303323,"POINT (-97.64303323 26.47132899)",3.324169395,0.155451086
"Williamson",491,246,"48,491",30.64834941,-97.60105467,"POINT (-97.60105467 30.64834941)",2.482291287,0.276928338
"Wilson",493,247,"48,493",29.17315896,-98.08621015,"POINT (-98.08621015 29.17315896)",1.917175929,0.193944043
"Winkler",495,248,"48,495",31.85008609,-103.0484794,"POINT (-103.0484794 31.85008609)",1.928019223,0.207372195
"Wise",497,249,"48,497",33.21585061,-97.65444124,"POINT (-97.65444124 33.21585061)",1.93265109,0.231118947
"Wood",499,250,"48,499",32.78634374,-95.38206498,"POINT (-95.38206498 32.78634374)",2.181601134,0.173379789
"Yoakum",501,251,"48,501",33.17293501,-102.8278792,"POINT (-102.8278792 33.17293501)",1.791577313,0.200359767
"Young",503,252,"48,503",33.17670764,-98.68781396,"POINT (-98.68781396 33.17670764)",1.941650639,0.233021666
"Zapata",505,253,"48,505",27.00089072,-99.16860134,"POINT (-99.16860134 27.00089072)",2.24698193,0.24921502
"Zavala",507,254,"48,507",28.86530621,-99.76102001,"POINT (-99.76102001 28.86530621)",2.300184353,0.311031225
